	pair	relatedness	second_guess	loglik_ratio	withinDeg_second_guess	withinDeg_ll
1558	KFP016_KFP105	un	deg3	19.48969158251384		
1559	KFP016_KFP106	un	deg3	17.470182186143347		
1560	KFP017_KFP018	un	deg3	23.006534725032225		
1561	KFP017_KFP019	un	deg3	16.858326274026922		
1562	KFP017_KFP020	un	deg3	19.996537658731086		
1563	KFP017_KFP021	un	deg3	20.052881874492183		
1564	KFP017_KFP022	un	deg3	19.322111909355726		
1565	KFP017_KFP023	un	deg3	18.66170156675139		
1566	KFP017_KFP024	un	deg3	20.324263061269452		
1567	KFP017_KFP025	un	deg3	20.93099457543326		
1568	KFP017_KFP026	un	deg3	19.076389818920006		
1569	KFP017_KFP027	un	deg3	11.410276983133599		
1570	KFP017_KFP028	un	deg3	17.795774686894898		
1571	KFP017_KFP029	un	deg3	20.809209589833472		
1572	KFP017_KFP030	un	deg3	20.77723483673867		
1573	KFP017_KFP031	un	deg3	19.48934731686404		
1574	KFP017_KFP032	un	deg3	20.358023781050857		
1575	KFP017_KFP033	un	deg3	12.817749405248605		
1576	KFP017_KFP034	un	deg3	11.923166818760365		
1577	KFP017_KFP035	un	deg3	18.249807307620586		
1578	KFP017_KFP036	un	deg3	15.357713603033517		
1579	KFP017_KFP037	un	deg3	21.240756041307353		
1580	KFP017_KFP038	un	deg3	10.26736808260307		
1581	KFP017_KFP039	un	deg3	0.7963859731532921		
1582	KFP017_KFP040	un	deg3	7.347895534637928		
1583	KFP017_KFP041	un	deg3	19.029161778396656		
1584	KFP017_KFP042	un	deg3	21.490290807611476		
1585	KFP017_KFP043	un	deg3	17.16951353006675		
1586	KFP017_KFP044	un	deg3	21.648895306185523		
1587	KFP017_KFP045	un	deg3	17.91437050925879		
1588	KFP017_KFP046	un	deg3	14.749121199925414		
1589	KFP017_KFP047	pc	sec	21.05482518204019	sib	32.65722294887621
1590	KFP017_KFP048	un	deg3	14.694232756963176		
1591	KFP017_KFP049	deg3	un	1.393796604908971		
1592	KFP017_KFP050	un	deg3	16.869077462054975		
1593	KFP017_KFP051	un	deg3	21.668166595960656		
1594	KFP017_KFP052	un	deg3	21.03748220259285		
1595	KFP017_KFP053	un	deg3	19.12923984799681		
1596	KFP017_KFP054	un	deg3	21.216409695613038		
1597	KFP017_KFP055	un	deg3	19.952929500841037		
1598	KFP017_KFP056	un	deg3	23.621423014901325		
1599	KFP017_KFP057	un	deg3	21.863377980722362		
